prices,id
"R$172,91",1005002945914686
"R$89,04",1005005282315244
"R$163,68",1005005569708309
"R$58,69",1005002613578094
"R$40,09",1005005758075582
"R$4,99",1005005647599553
"R$4,99",1005004836321383
"R$55,9",4000979366262
"R$15,72",1005006158080966
"R$96,5",1005005970216688
"R$145,29",1005005960648066
"R$83,85",1005005960650046
"R$164,3",1005006110435661
"R$48,22",1005005960639092
"R$51,5",1005006088483180
"R$79,59",1005005960545759
"R$88,7",1005006110442665
"R$40,6",1005006150240454
"R$243,68",1005006136492004
"R$66,36",1005005557192842
"R$106,3",1005005893230723
"R$96,97",1005005805683468
"R$60,04",1005005580221518
"R$73,4",1005006010708995
"R$46,36",1005005984935235
"R$64,69",1005006139317167
"R$4,99",1005006120598609
"R$25,53",1005006141922164
"R$69,82",1005005928418434
"R$182,08",1005006021925443
"R$59,88",32841178805
"R$91,64",1005005985504510
"R$992,19",1005006053351762
"R$25,9",1005006058314490
"R$49,99",1005006004014866
"R$27,3",1005006016230595
"R$20,78",1005006143812855
"R$12,99",1005006183391902
"R$125,2",1005005880884063
"R$61,85",1005003621111301
"R$204,65",1005005397429028
"R$134,88",1005005398064386
"R$62,62",1005005477882236
"R$90,29",1005005218941769
"R$91,58",1005005873748295
"R$132,82",1005006034696992
"R$33,81",1005005937950672
"R$43,7",1005005394842458
"R$35,74",1005005653986749
"R$39,88",1005004973162046
"R$35,69",1005004611536995
"R$34,81",1005005670833567
"R$27,56",1005005334482561
"R$43,82",1005006140002773
"R$54,65",1005005774107240
"R$87,44",1005005458133310
"R$34,76",1005004002506452
"R$63,77",32919929226
"R$48,69",4000712232249
"R$31,08",4001153776876
"R$45,84",1005001458374802
"R$47,04",1005005282218836
"R$32,32",1005004650169706
"R$47,6",1005005270743681
"R$82,36",1005004231718291
"R$92,54",1005001335286511
"R$32,79",1005005593329994
"R$38,91",1005003206197054
"R$18,21",1005005275983359
"R$40,78",1005005408196217
"R$52,1",1005005371030118
"R$74,33",1005003319588126
"R$58,18",1005005407407939
"R$4,19",1005004990935893
"R$47,71",1005005588020827
"R$27,72",1005005088715952
"R$53,77",32850169927
"R$10,16",1005004843354171
"R$65,73",1005005385258351
R$50,1005005621508781
"R$84,54",1005005500916652
"R$72,21",1005004891235642
"R$42,32",32798792614
"R$167,89",4001284070652
"R$101,79",1005005665205368
"R$84,23",1005005834473444
"R$44,81",1005005758859788
"R$41,8",1005005028719876
"R$7,15",1005004303571710
"R$12,64",1005004069301309
"R$43,51",1005003303088908
"R$24,4",1005002724064017
"R$54,44",1005005320715479
"R$42,27",4001156827413
"R$80,92",1005005470662417
"R$75,53",1005005387379879
"R$16,68",1005005198450123
"R$21,85",1005005463797229
"R$57,44",1005004771255478
"R$57,5",1005005709050561
"R$21,29",1005006170551401
"R$39,42",1005005500477928
"R$32,32",1005005448573031
"R$69,67",1005005603338925
"R$51,59",1005004886535912
"R$24,76",1005005379194121
"R$110,65",1005005193138578
"R$43,82",1005006120441774
"R$26,04",1005005595263759
"R$39,76",1005005493104542
"R$35,9",1005001869671225
"R$76,35",1005005091434504
"R$25,17",1005004772017009
"R$26,22",1005005379078232
"R$45,38",1005004547221038
"R$47,74",1005005633308592
"R$10,19",1005005025095441
"R$68,79",1005005176438301
"R$51,49",1005002017869323
"R$40,08",1005006057430782
"R$50,91",1005006196789143
"R$33,15",1005005993249094
"R$36,21",1005004940622179
"R$57,97",1005003668941404
"R$19,63",1005005079014325
"R$8,85",1005005594384542
"R$41,86",1005004436708323
"R$51,4",1005005586439155
"R$69,98",1005005257592502
"R$31,18",4001122082055
"R$22,58",1005005435048508
"R$29,02",1005005379040693
"R$23,3",1005005396357347
"R$32,64",1005005708617695
"R$28,4",1005005859842767
"R$34,24",32852662455
"R$14,56",1005005341676284
"R$68,69",1005004823289908
"R$21,85",1005005433814786
"R$132,24",1005003907658880
"R$37,09",1005002993725702
"R$172,55",1005002985235637
"R$35,78",1005006134512178
"R$6,89",1005003667873262
"R$12,82",1005003768185259
"R$9,61",1005004067717996
"R$6,41",1005003951424099
"R$8,02",1005004064746463
"R$6,21",1005005771697089
"R$18,54",1005003936207671
"R$25,43",1005005120806010
"R$27,4",1005002820658956
"R$26,52",1005001894475270
"R$30,77",1005005973690244
"R$30,86",1005005957882357
"R$32,37",1005005576743200
"R$276,7",1005006019743279
"R$282,66",1005005646484292
"R$216,99",1005005929889106
"R$6,11",1005005021243916
"R$92,86",1005005897649627
"R$42,48",1005006096156360
"R$42,97",1005005396284198
"R$170,64",1005005244929593
"R$36,67",33062279997
"R$18,6",1005005078344065
"R$56,52",1005005638250471
"R$43,51",1005004776085812
"R$177,15",1005005548170113
"R$27,34",1005005447557899
"R$49,51",1005002747008966
"R$72,83",1005005885614830
"R$75,33",1005005103037175
"R$20,82",1005002664099206
"R$39,89",1005005477590570
"R$32,27",1005005070427148
"R$32,42",32836726534
"R$27,81",1005005639087618
"R$30,15",1005005940797697
"R$21,29",1005006162709214
"R$81,9",1005002525037944
"R$35,49",1005003999299125
"R$54,29",1005002438683765
"R$37,01",1005004766503843
"R$7,15",1005003048305383
"R$24,31",1005005609390398
"R$77,55",1005002548102299
"R$156,34",1005001532154551
"R$39,78",1005005369582084
"R$22,49",1005005984027698
"R$235,28",1005006015855793
"R$34,19",1005003830460700
"R$11,44",1005005164505090
"R$22,1",1005005998585075
"R$214,17",1005006079145232
"R$7,05",1005003604470470
"R$23,46",1005005904796496
"R$143,49",1005006017022876
"R$44,89",1005005620070718
"R$48,27",1005005505483463
"R$31,39",1005005335764214
"R$46,46",1005005426345641
"R$2,28",1005002733032056
"R$35,49",1005006170602694
"R$40,56",1005005383882041
"R$37,7",1005005861323961
"R$21,5",1005004346899530
"R$4,99",1005005394671063
"R$9,57",1005005100730086
"R$20,61",1005005060818595
"R$25,48",1005003474755432
"R$55,72",1005005533928090
"R$37,2",4001345598652
"R$46,56",1005002886305950
"R$43,87",1005002081773412
"R$7,28",1005005945189300
"R$19,79",1005005278257769
"R$65,58",1005005427226343
"R$8,75",1005005448066045
"R$72,4",1005005497812765
"R$8,96",1005005905647821
"R$6,12",1005004827752483
"R$38,33",1005004573799536
"R$25,12",1005005808035887
"R$20,83",1005006169524896
"R$27,09",1005002833643201
"R$43,36",1005005272478560
"R$65,37",1005005785265279
"R$32,84",1005006035138027
"R$44,65",32995857947
"R$36,41",1005006012690428
"R$24,45",1005005904916215
"R$52,84",1005006002595437
"R$4,99",1005004741863382
"R$38,22",1005005959044129
"R$38,54",32936186287
"R$23,3",1005005100592651
"R$23,75",1005005079003062
"R$41,13",1005004979981804
"R$11,53",1005006012890318
"R$4,99",1005006058157076
"R$17,87",1005006004902545
"R$26,73",1005005072660842
"R$4,99",1005005120724524
"R$105,2",1005003985091851
"R$20,14",4000152532752
"R$4,99",1005005058417891
"R$4,99",1005005959220547
"R$59,15",1005006064407672
"R$79,2",1005005145595353
"R$4,99",1005005664968052
"R$4,99",1005005944260366
"R$4,99",1005005286656811
"R$4,99",1005005079373784
"R$9,78",1005005989580389
"R$42,89",1005004820946791
"R$4,99",1005005058530686
"R$13,67",1005005903186043
"R$12,32",1005006042138623
"R$4,99",1005004771835157
"R$79,2",1005005720985071
"R$11,81",1005005922904109
"R$15,64",1005004639506915
"R$57,16",32969336537
"R$5,69",1005006118222673
"R$10,36",1005003609703552
"R$4,99",1005005079406551
"R$4,99",1005006123324726
"R$69,73",1005005445883713
"R$36,15",1005005609103099
"R$31,9",1005005895660775
"R$4,99",1005005922901104
"R$11,55",1005005120795098
"R$102,14",1005002276114203
"R$7,41",1005004472683444
"R$8,65",1005005118901242
"R$24,45",1005005120781408
"R$11,24",1005004771817095
"R$54,2",1005004644774810
"R$7,04",1005006034427887
"R$10,66",1005004918554583
"R$4,99",1005005771671258
"R$19,88",1005004227588324
"R$15,4",1005004850048234
"R$54,25",1005005322261171
"R$9,53",1005004771687703
R$70,1005005923044069
"R$8,5",1005003225515748
"R$4,99",1005006116919656
"R$18,5",1005005898813743
"R$4,99",1005005956147243
"R$176,79",1005005319703884
"R$4,99",1005005948726502
"R$11,06",1005005640104075
R$18,1005006069538876
"R$13,05",1005005922840514
"R$163,69",1005006184965781
"R$13,1",1005002952991503
"R$9,9",1005006080760740
"R$4,99",1005004771784946
"R$4,99",1005004629207419
"R$20,4",1005006114067740
"R$10,71",1005005637559329
"R$4,99",1005005638830747
"R$32,54",1005005577245137
"R$15,02",1005005934218999
"R$58,79",1005005843614698
"R$4,99",1005006117774233
"R$58,74",1005005844116920
R$18,1005006133799737
"R$38,01",1005005986182437
"R$20,5",1005005515888657
R$45,1005005116263296
"R$10,65",1005005217183378
"R$4,99",1005005966919365
"R$9,99",1005005283476079
"R$73,19",1005004861969763
R$49,1005006066008619
"R$161,18",1005005074792779
"R$9,9",1005006055293040
"R$4,99",1005006117818145
"R$4,99",1005006138769630
"R$22,84",1005005999899281
"R$148,94",1005005957971204
R$14,1005005934792365
"R$24,99",1005004868431869
R$45,1005005119346739
"R$4,99",1005005804790202
"R$131,21",1005005899261903
"R$9,63",1005005794836148
"R$4,99",1005005699328399
R$5,1005003524502337
"R$4,99",1005005044356866
"R$37,95",1005006119277209
R$26,1005006192408451
"R$13,52",1005006204518621
"R$14,99",1005006206223609
R$15,1005004939838013
"R$23,23",1005001973799280
"R$117,54",1005004825390148
"R$26,21",1005003157565060
"R$9,38",4000628052789
"R$129,28",1005005174504535
"R$40,41",1005003130353623
"R$10,26",1005002015497226
"R$83,5",1005004358756349
"R$16,06",1005001469875433
"R$25,54",1005003829834445
"R$84,15",1005004119833778
"R$10,41",1005002829000665
"R$10,15",4000808117493
"R$89,15",1005004340064848
"R$26,11",1005004920657568
"R$26,21",1005003792332402
"R$24,55",1005004594877122
"R$22,49",1005003275646406
"R$13,26",1005003778896753
"R$15,38",4000767927308
"R$57,71",1005003021964050
"R$198,91",1005005143677287
"R$3,76",1005002003978062
"R$6,42",1005004745782802
"R$6,32",1005004392537094
"R$23,26",1005001677663504
"R$23,84",4000371313663
"R$0,78",1005004235317828
"R$115,76",32922204170
"R$9,84",1005002256537828
"R$33,31",1005003009092879
"R$38,44",4000530585281
"R$23,88",1005002999477332
"R$9,28",1005004236797971
"R$4,76",1005004649051660
"R$2,59",1005005477828315
"R$96,87",1005003760195511
"R$52,47",1005005089312085
"R$24,45",1005003303498265
"R$20,1",1005003097399619
"R$7,72",1005004760211817
"R$75,94",4001276291157
"R$4,51",1005004376213062
"R$9,53",4000890860630
"R$17,97",1005001593209361
"R$4,41",1005003135881810
"R$9,53",1005004850776807
"R$6,43",1005001622016660
"R$26,37",1005001993720521
"R$33,2",1005003374660400
"R$68,06",1005002746958640
"R$11,81",1005005035066092
"R$33,26",1005004138889432
